Transactions Per Block,Estimated Transaction Volume,Fees Per Transaction,Market Value to Realised Value,Confirmed Payments,Price,Vol.,Change %,Date
0.2422790469494704,0.008590784226868618,0.0008968568997654369,0.09770140891308723,0.09422461364876128,0.004539718775576121,0.07114343741558533,0.14366197183098595,2015-11-14
0.2434534477565093,0.008322124519283484,0.0009024646084098256,0.10012828187739137,0.09437941701105104,0.004344005846752671,0.08836152991906196,0.13422154548915113,2015-11-15
0.24462784856354822,0.008053464811698352,0.0009080723170542143,0.10055559246308524,0.09453422037334082,0.0045178208254979734,0.08718097505827739,0.15538637228778077,2015-11-16
0.24580224937058714,0.007718865629584001,0.0009136800256986028,0.1009829030487791,0.0946890237356306,0.004568459835053691,0.0982961992136304,0.14802690013957623,2015-11-17
0.24697665017762604,0.0073842664474696494,0.0009192877343429915,0.10141021363447295,0.09485005835672498,0.0045958322726513765,0.0783968465178634,0.14670727065093264,2015-11-18
0.2282925869882733,0.007049667265355298,0.0009331865054949187,0.10183752422016681,0.09501109297781937,0.004446652487743992,0.08642061769031445,0.13691155944677075,2015-11-19
0.20960852379892053,0.0067150680832409465,0.000947085276646846,0.10042883832030286,0.09517212759891377,0.004393276234428505,0.11004171960821586,0.1421646999111788,2015-11-20
0.19092446060956775,0.006315824764180476,0.0009609840477987732,0.0990201524204389,0.09533316222000816,0.004442546622104338,0.045021159945174236,0.14800152264941,2015-11-21
0.172240397420215,0.005916581445120005,0.0009748828189507005,0.09761146652057495,0.09548076029855956,0.004416542806386537,0.036767280621892294,0.14368734932115215,2015-11-22
0.18264843958491464,0.0055173381260595344,0.0009749424898944355,0.0975538785618302,0.09562835837711096,0.0044069624532273475,0.042750092543495447,0.14467707143763484,2015-11-23
0.19305648174961426,0.005118094806999064,0.0009750021608381706,0.0974962906030854,0.09577595645566236,0.0043563234436716294,0.05068382139605615,0.14221545489151124,2015-11-24
0.2034645239143139,0.005326677433930854,0.0009750618317819056,0.0974387026443406,0.09592355453421376,0.004480868034741098,0.07771652676758077,0.1524933384088314,2015-11-25
0.21387256607901356,0.005535260060862645,0.0009751215027256405,0.09738111468559582,0.09608779805327565,0.004839446967270776,0.21147939531579843,0.16551199086410356,2015-11-26
0.224854645614668,0.005743842687794435,0.0010291497658795053,0.10263225592362119,0.09625204157233753,0.0049188270363040645,0.10352865846948066,0.14932115213805358,2015-11-27
0.23583672515032245,0.005952425314726225,0.0010831780290333699,0.10788339716164658,0.09641628509139942,0.0048681880267483464,0.05619641231378748,0.14257073975383838,2015-11-28
0.24681880468597686,0.006875277513031628,0.0011372062921872345,0.11313453839967194,0.0965805286104613,0.005073481308730986,0.06740167878903085,0.15589392209110522,2015-11-29
0.2578008842216313,0.007798129711337032,0.0011912345553410993,0.11282201199746428,0.09675241122054146,0.005172022084082654,0.12983102057967247,0.15005709935287403,2015-11-30
0.25820691564754455,0.008720981909642435,0.0011441277126745981,0.11250948559525656,0.09692429383062162,0.004950305339541402,0.1119626224325433,0.13432305544981604,2015-12-01
0.2586129470734577,0.009643834107947839,0.001097020870008097,0.11219695919304884,0.09709617644070177,0.004925670145703486,0.09249347193180796,0.14391574673264818,2015-12-02
0.2590189784993709,0.009966796453912467,0.001049914027341596,0.11188443279084118,0.09726805905078192,0.0049297760113431385,0.08727101737816774,0.1454130186524553,2015-12-03
0.2594250099252841,0.010289758799877095,0.001002807184675095,0.11737537774452284,0.09744754783356323,0.004948936717661518,0.06057847188178444,0.14614896586727574,2015-12-04
