Date,Fees Per Transaction
2018-06-23,1.19089219316408
2018-06-27,1.03925388121249
2018-07-01,0.684603970324376
2018-07-05,0.652793160052876
2018-07-09,0.647246208882597
2018-07-13,0.587412092972705
2018-07-17,0.731273674820069
2018-07-21,0.692117590520499
2018-07-25,0.885153137886251
2018-07-29,0.763535513256998
2018-08-02,0.853059398674629
2018-08-06,0.566810600780812
2018-08-10,0.574457094698937
2018-08-14,0.646798610284149
2018-08-18,0.560356305128898
2018-08-22,0.685105084726415
2018-08-26,1.08458673008572
2018-08-30,0.719730048586831
2018-09-03,0.649032556698184
2018-09-07,0.77274510663761
2018-09-11,0.615513273148291
2018-09-15,0.484572453960604
2018-09-19,0.412101655522942
2018-09-23,0.484719419513626
2018-09-27,0.619840648517796
2018-10-01,0.590534993332689
2018-10-05,0.570922480006599
2018-10-09,0.465623595087276
2018-10-13,0.400994935776989
2018-10-17,0.467772616203699
2018-10-21,0.379102021488192
2018-10-25,0.441085623359184
2018-10-29,0.459450635000723
2018-11-02,0.393727751010816
2018-11-06,0.431263396115446
2018-11-10,0.419829416939624
2018-11-14,0.528795045509614
2018-11-18,0.416062022335391
2018-11-22,0.656738620204629
2018-11-26,0.569684911749044
2018-11-30,0.651760825732386
2018-12-04,0.456759168372316
2018-12-08,0.289102587669862
2018-12-12,0.290514967474806
2018-12-16,0.21077463587853
2018-12-20,0.379112631341302
2018-12-24,0.350045876268364
2018-12-28,0.214008588210473
2019-01-01,0.176749033941854
2019-01-05,0.184406891863424
2019-01-09,0.303830006630665
2019-01-13,0.182962574018324
2019-01-17,0.28484713714882
2019-01-21,0.222462357286363
2019-01-25,0.292323766582377
2019-01-29,0.242312339213522
2019-02-02,0.201277400184509
2019-02-06,0.210036092345556
2019-02-10,0.163513821566011
2019-02-14,0.262659926685426
2019-02-18,0.325041794131476
2019-02-22,0.437014729582108
2019-02-26,0.375138468313133
2019-03-02,0.286647422329177
2019-03-06,0.534873557164148
2019-03-10,0.34887826429922
2019-03-14,0.481901030733407
2019-03-18,0.303633707735043
2019-03-22,0.361824583634967
2019-03-26,0.385942280463952
2019-03-30,0.590947052294201
2019-04-03,1.98543207226587
