Date,Transactions Per Block,Circulating Bitcoin,Estimated Transaction Volume,Fees Per Transaction,Market Value to Realised Value,Confirmed Payments,Price,Vol.,Change %
2014-01-22,340.403144117942,,106889299.90148905,0.20830480947606175,,31421422.0,951.0,4.78K,-1.17%
2014-01-23,359.186440677966,,96675655.5945251,0.214424320922282,,31483486.25,944.2,1.97K,-0.71%
2014-01-24,361.88120981881923,,86462011.28756115,0.2026075197703365,,31545550.5,916.5,6.20K,-2.92%
2014-01-25,364.5759789596725,,76248366.9805972,0.190790718618391,,31607614.75,961.0,8.18K,4.86%
2014-01-26,367.2707481005258,,71872669.7027264,0.1789739174664455,,31669679.0,"1,007.0",13.07K,4.78%
2014-01-27,369.965517241379,,67496972.42485559,0.1671571163145,,31730519.5,943.5,8.33K,-6.30%
2014-01-28,359.36136619190376,,63121275.1469848,0.1733344581589425,,31791360.0,932.7,10.41K,-1.15%
2014-01-29,348.75721514242855,,58745577.869114,0.179511800003385,,31852200.5,925.7,5.68K,-0.75%
2014-01-30,338.1530640929533,,57446203.795760624,0.1856891418478275,,31913041.0,941.4,5.43K,1.70%
2014-01-31,327.548913043478,,56146829.72240725,0.19186648369227,,31970064.0,938.8,4.31K,-0.27%
2014-02-01,347.11371966632953,,54847455.64905387,0.18441086827041026,,32027087.0,940.4,4.37K,0.17%
2014-02-02,366.67852628918104,,53548081.5757005,0.17695525284855051,,32084110.0,953.3,1.58K,1.37%
2014-02-03,386.2433329120325,,71052634.40815037,0.16949963742669075,,32141133.0,931.7,2.79K,-2.27%
2014-02-04,405.808139534884,,88557187.24060026,0.162044022004831,,32207386.5,926.6,4.61K,-0.54%
2014-02-05,393.65418157424,,106061740.07305013,0.15540053891268402,,32273640.0,904.5,7.56K,-2.39%
2014-02-06,381.500223613596,,123566292.9055,0.148757055820537,,32339893.5,828.9,18.60K,-8.36%
2014-02-07,369.346265652952,,119671030.58134475,0.14211357272838998,,32406147.0,695.7,49.91K,-16.07%
2014-02-08,357.192307692308,,115775768.2571895,0.135470089636243,,32470944.5,648.8,22.88K,-6.74%
2014-02-09,355.149848746759,,111880505.93303424,0.14368506362134276,,32535742.0,659.6,19.89K,1.66%
2014-02-10,353.10738980121005,,107985243.608879,0.1519000376064425,,32600539.5,582.6,40.13K,-11.67%
2014-02-11,351.06493085566103,,101419897.64998315,0.16011501159154223,,32665337.0,579.0,16.73K,-0.63%
2014-02-12,349.022471910112,,94854551.6910873,0.168329985576642,,32733419.0,531.1,21.30K,-8.26%
2014-02-13,335.52454624027627,,88289205.73219144,0.1581589802840595,,32801501.0,451.4,28.94K,-15.00%
2014-02-14,322.0266205704405,,81723859.7732956,0.147987974991477,,32869583.0,427.7,65.82K,-5.26%
2014-02-15,308.52869490060476,,82443945.63137558,0.1378169696988945,,32937665.0,371.1,50.62K,-13.24%
2014-02-16,295.030769230769,,83164031.48945555,0.127645964406312,,32998992.0,299.8,86.18K,-19.21%
2014-02-17,321.7589526292915,,83884117.34753552,0.12860756362678952,,33060319.0,272.3,51.44K,-9.18%
2014-02-18,348.487136027814,,84604203.2056155,0.129569162847267,,33121646.0,294.0,48.88K,7.96%
2014-02-19,375.2153194263365,,77815682.3721601,0.1305307620677445,,33182973.0,261.5,31.50K,-11.03%
2014-02-20,401.943502824859,,71027161.53870471,0.131492361288222,,33250189.0,111.9,102.18K,-57.21%
2014-02-21,398.0492501552935,,64238640.7052493,0.1298596412168495,,33317405.0,111.6,82.59K,-0.32%
2014-02-22,394.154997485728,,57450119.8717939,0.128226921145477,,33384621.0,255.6,72.17K,129.11%
2014-02-23,390.2607448161625,,69604946.36392093,0.1265942010741045,,33451837.0,310.2,38.55K,21.35%
2014-02-24,386.366492146597,,81759772.85604796,0.124961481002732,,33523263.0,174.0,95.12K,-43.90%
2014-02-25,386.86050446906376,,93914599.34817499,0.12846117312854224,,33594689.0,135.8,30.43K,-21.97%
2014-02-26,387.3545167915305,,106069425.840302,0.1319608652543525,,33666115.0,593.1,0.60K,336.84%
2014-02-27,387.84852911399724,,90290998.8445889,0.13546055738016274,,33737541.0,596.5,0.50K,0.56%
2014-02-28,388.342541436464,,74512571.8488758,0.138960249505973,,33803398.5,573.9,0.51K,-3.78%
2014-03-01,433.20321480218024,,58734144.8531627,0.139112682139554,,33869256.0,557.4,0.40K,-2.88%
2014-03-02,478.0638881678965,,42955717.8574496,0.139265114773135,,33935113.5,544.6,0.83K,-2.30%
2014-03-03,522.9245615336127,,53832152.563602224,0.139417547406716,,34000971.0,662.2,1.26K,21.60%
2014-03-04,567.785234899329,,64708587.26975484,0.139569980040297,,34078076.0,661.8,1.37K,-0.05%
2014-03-05,521.9549976030683,,75585021.97590747,0.13296708559280024,,34155181.0,658.3,1.26K,-0.54%
2014-03-06,476.1247603068075,,86461456.6820601,0.1263641911453035,,34232286.0,648.3,2.07K,-1.53%
2014-03-07,430.29452301054675,,131216977.50814107,0.11976129669780675,,34309391.0,616.7,2.34K,-4.86%
2014-03-08,384.464285714286,,175972498.33422205,0.11315840225031,,34376803.0,609.2,2.17K,-1.22%
2014-03-09,393.20947802197827,,220728019.16030303,0.118253646253636,,34444215.0,627.0,1.95K,2.93%
2014-03-10,401.95467032967053,,265483539.986384,0.123348890256962,,34511627.0,613.0,2.63K,-2.25%
2014-03-11,410.69986263736274,,233490507.239461,0.128444134260288,,34579039.0,608.7,2.43K,-0.70%
2014-03-12,419.445054945055,,201497474.492538,0.133539378263614,,34652934.25,619.4,3.20K,1.76%
2014-03-13,401.32648126727076,,169504441.745615,0.13219462261461726,,34726829.5,625.0,3.41K,0.91%
2014-03-14,383.20790758948647,,137511408.998692,0.1308498669656205,,34800724.75,614.0,4.00K,-1.76%
2014-03-15,365.0893339117022,,119427194.66926238,0.12950511131662376,,34874620.0,624.0,3.46K,1.63%
2014-03-16,346.970760233918,,101342980.33983275,0.128160355667627,,34935133.5,619.1,3.30K,-0.78%
2014-03-17,360.51338090990174,,83258766.01040313,0.12562955481148977,,34995647.0,606.4,3.58K,-2.06%
2014-03-18,374.0560015858855,,65174551.6809735,0.1230987539553525,,35056160.5,598.9,3.65K,-1.23%
2014-03-19,387.59862226186925,,60037850.754412375,0.12056795309921525,,35116674.0,595.0,3.58K,-0.66%
2014-03-20,401.141242937853,,54901149.82785125,0.118037152243078,,35187499.75,566.0,4.24K,-4.87%
2014-03-21,395.2482194374322,,49764448.901290126,0.11410269284846974,,35258325.5,549.6,3.82K,-2.90%
2014-03-22,389.3551959370115,,44627747.974729,0.1101682334538615,,35329151.25,564.3,3.77K,2.68%
2014-03-23,383.4621724365908,,49835420.64976288,0.10623377405925324,,35399977.0,551.2,4.13K,-2.34%
2014-03-24,377.56914893617,,55043093.32479675,0.102299314664645,,35467278.25,567.6,3.67K,2.98%
2014-03-25,379.554735265346,,60250765.999830626,0.0985010611261638,,35534579.5,562.9,3.87K,-0.82%
2014-03-26,381.54032159452197,,65458438.6748645,0.0947028075876826,,35601880.75,562.5,3.71K,-0.08%
2014-03-27,383.525907923698,,62254678.87454275,0.09090455404920139,,35669182.0,460.5,3.78K,-18.13%
2014-03-28,385.511494252874,,59050919.074221,0.0871063005107202,,35731109.25,482.6,4.11K,4.81%
2014-03-29,382.8997025610005,,55847159.27389925,0.0872856702141796,,35793036.5,477.1,4.29K,-1.14%
2014-03-30,380.287910869127,,52643399.4735775,0.087465039917639,,35854963.75,446.9,3.86K,-6.33%
2014-03-31,377.6761191772535,,57863071.250193276,0.0876444096210984,,35916891.0,444.7,4.15K,-0.51%
2014-04-01,375.06432748538,,63082743.02680905,0.0878237793245578,,35982833.75,463.5,3.97K,4.23%
2014-04-02,362.86988304093546,,68302414.80342484,0.08761009556954005,,36048776.5,424.4,4.38K,-8.43%
2014-04-03,350.67543859649095,,73522086.5800406,0.0873964118145223,,36114719.25,436.3,4.02K,2.81%
2014-04-04,338.4809941520465,,65880263.182802126,0.08718272805950456,,36180662.0,444.4,2.57K,1.85%
2014-04-05,326.286549707602,,58238439.78556365,0.0869690443044868,,36240157.75,456.6,1.16K,2.76%
2014-04-06,345.88416693908647,,50596616.38832518,0.0988263670093846,,36299653.5,455.7,3.59K,-0.21%
2014-04-07,365.481784170571,,42954792.9910867,0.11068368971428241,,36359149.25,462.4,3.95K,1.47%
2014-04-08,385.0794014020555,,49724424.57545772,0.12254101241918021,,36418645.0,466.6,3.91K,0.90%
2014-04-09,404.67701863354,,56494056.15982875,0.134398335124078,,36485209.5,457.3,3.88K,-1.98%
2014-04-10,371.9141810874545,,63263687.744199775,0.12188563388982929,,36551774.0,384.6,3.65K,-15.90%
2014-04-11,339.151343541369,,70033319.3285708,0.10937293265558055,,36618338.5,435.1,5.16K,13.13%
2014-04-12,306.3885059952835,,69369476.66172947,0.09686023142133182,,36684903.0,437.6,5.19K,0.58%
2014-04-13,273.625668449198,,68705633.99488816,0.0843475301870831,,36745402.5,427.6,4.97K,-2.30%
2014-04-14,301.654162579502,,68041791.32804683,0.09286254570166733,,36805902.0,478.4,7.62K,11.88%
2014-04-15,329.682656709806,,67377948.6612055,0.10137756121625155,,36866401.5,526.4,8.00K,10.04%
2014-04-16,357.71115084011,,58386242.4353087,0.10989257673083577,,36926901.0,537.0,8.06K,2.00%
